,template_name,task_type,filename,original_template,human_translation,gpt_few_shot,gpt_one_shot,gpt_zero_shot,mistral_few_shot,mistral_zero_shot
10,context_description_question_text,question answering without choices,cosmos_qa.yaml,"{{ context }}
According to the above context, answer the following question.
{{ question }}
|||
{{answer_choices[label]}}","{{ context }}
In base al contesto in alto, rispondi alla domanda seguente.
{{ question }}
|||
{{answer_choices[label]}}","{{ context }}
Secondo il contesto sopra, rispondi alla seguente domanda.
{{ question }}
|||
{{answer_choices[label]}}","{{ context }}
Secondo il contesto sopra, rispondi alla seguente domanda.
{{ question }}
|||
{{answer_choices[label]}}","{{ context }}
Secondo il contesto sopra, rispondi alla seguente domanda.
{{ question }}
|||
{{answer_choices[label]}}","{{ context }}
In base al contesto precedente, rispondi alla seguente domanda.
{{ question }}
|||
{{answer_choices[label]}}","{{ context }}
In base al contesto sopra indicato, rispondi alla domanda seguente.
{{ question }}
|||
{{answer_choices[label]}}"
11,context_question_description_answer_text,multiple-choice question answering,cosmos_qa.yaml,"{{ context }}
{{ question }}
Pick the best answer from the following options:
- {{ answer_choices | join(""\n - "") }}
|||
{{ answer_choices[label] }}","{{ context }}
{{ question }}
Scegli la migliore risposta dalle opzioni seguenti:
- {{ answer_choices | join(""\n - "") }}
|||
{{ answer_choices[label] }}","{{ context }}
{{ question }}
Scegli la risposta migliore tra le seguenti opzioni:
- {{ answer_choices | join(""\n - "") }}
|||
{{ answer_choices[label] }}","{{ context }}
{{ question }}
Scegli la risposta migliore tra le seguenti opzioni:
- {{ answer_choices | join(""\n - "") }}
|||
{{ answer_choices[label] }}","{{ context }}
{{ question }}
Scegli la risposta migliore tra le seguenti opzioni:
- {{ answer_choices | join(""\n - "") }}
|||
{{ answer_choices[label] }}","{{ context }}
{{ question }}
Scegli la risposta migliore tra le seguenti opzioni:
- {{ answer_choices | join(""\n - "") }}
|||
{{ answer_choices[label] }}","{{ context }}
{{ question }}
Scegli la risposta migliore tra le seguenti opzioni:
- {{ answer_choices | join(""\n - "") }}
|||
{{ answer_choices[label] }}"
12,I was wondering,question answering without choices,social_i_qa.yaml,"I heard that {{context}}

And I was wondering {{question}}

|||

{{answer_choices[label | int - 1]}}","Ho sentito che {{context}}

E mi chiedevo {{question}}

|||

{{answer_choices[label | int - 1]}}","Ho sentito che {{context}}

E mi chiedevo {{question}}

|||

{{answer_choices[label | int - 1]}}","Ho sentito che {{context}}

E mi chiedevo {{question}}

|||

{{answer_choices[label | int - 1]}}","Ho sentito che {{context}}

E mi chiedevo {{question}}

|||

{{answer_choices[label | int - 1]}}","Ho sentito che {{context}}

E stavo pensando {{question}}

|||

{{answer_choices[label | int - 1]}}","Ŕ stato detto che {{context}}

E stavo pensando {{question}}

|||

{{answer_choices[label | int - 1]}}"
13,Show choices and generate answer,multiple-choice question answering,social_i_qa.yaml,"{{context}}

Given the context: {{question}}

Possible answers: {{answer_choices | join("", "")}}

|||

{{answer_choices[label | int - 1]}}","{{context}}

Dato il contesto: {{question}}

Risposte possibili: {{answer_choices | join("", "")}}

|||

{{answer_choices[label | int - 1]}}","{{context}}

Dato il contesto: {{question}}

Risposte possibili: {{answer_choices | join("", "")}}

|||

{{answer_choices[label | int - 1]}}","{{context}}

Dato il contesto: {{question}}

Risposte possibili: {{answer_choices | join("", "")}}

|||

{{answer_choices[label | int - 1]}}","{{context}}

Dato il contesto: {{question}}

Risposte possibili: {{answer_choices | join("", "")}}

|||

{{answer_choices[label | int - 1]}}","Contesto: {{context}}

Dato il contesto: {{question}}

Possibili risposte: {{answer_choices | join("", "")}}

|||

{{answer_choices[label | int - 1]}}","{{context}}

In base al contesto: {{question}}

Le risposte possibili: {{answer_choices | join("", "")}}

|||

{{answer_choices[label | int - 1]}}"
14,Check if a random answer is valid or not,yes-no question answering,social_i_qa.yaml,"{% set random_answer_id = range(0,2) | choice%}
{% set answers = [answerA, answerB, answerC] %}
{{context}}

Given the question ""{{question}}"", is ""{{answers[random_answer_id]}}"" a valid answer?

|||

{% if (label | int) - 1 == random_answer_id %}
    Yes
{% else %}
    No
{% endif %}","{% set random_answer_id = range(0,2) | choice%}
{% set answers = [answerA, answerB, answerC] %}
{{context}}

Data la domanda ""{{question}}"", è ""{{answers[random_answer_id]}}"" una risposta valida?

|||

{% if (label | int) - 1 == random_answer_id %}
    Yes
{% else %}
    No
{% endif %}","{% set random_answer_id = range(0,2) | choice%}
{% set answers = [answerA, answerB, answerC] %}
{{context}}

Data la domanda ""{{question}}"", Ã¨ ""{{answers[random_answer_id]}}"" una risposta valida?

|||

{% if (label | int) - 1 == random_answer_id %}
    SÃ¬
{% else %}
    No
{% endif %}","{% set random_answer_id = range(0,2) | choice%}  
{% set answers = [answerA, answerB, answerC] %}  
{{context}}  

Data la domanda ""{{question}}"", Ã¨ ""{{answers[random_answer_id]}}"" una risposta valida?  

|||  

{% if (label | int) - 1 == random_answer_id %}  
    SÃ¬  
{% else %}  
    No  
{% endif %}","{% set random_answer_id = range(0,2) | choice%}
{% set answers = [answerA, answerB, answerC] %}
{{context}}

Data la domanda ""{{question}}"", Ã¨ ""{{answers[random_answer_id]}}"" una risposta valida?

|||

{% if (label | int) - 1 == random_answer_id %}
    SÃ¬
{% else %}
    No
{% endif %}","{% set random_answer_id = range(0,2) | choice%}
{% set answers = [rispostaA, rispostaB, rispostaC] %}
{{contesto}}

Dato la domanda ""{{domanda}}"", ""{{answers[random_answer_id]}}"" è una risposta valida?

|||

{% if (label | int) - 1 == random_answer_id %}
    Sì
{% else %}
    No
{% endif %}","{% set random_answer_id = range(0,2) | choice%}
{% set answers = [rispostaA, rispostaB, rispostaC] %}
{{context}}

Dato il question ""{{question}}"", {{answers[random_answer_id]}} è una risposta valida?

|||

{% if (label | int) - 1 == random_answer_id %}
    Sì
{% else %}
    No
{% endif %}"
15,Generate the question from the answer,question generation,social_i_qa.yaml,"{{context}}

Given that the answer to a question is ""{{{""1"": answerA, ""2"": answerB, ""3"": answerC}[label]}}"", what is the question?

|||

{{question}}","{{context}}

Dato che la risposta a una domanda è ""{{{""1"": answerA, ""2"": answerB, ""3"": answerC}[label]}}"", qual è la domanda?

|||

{{question}}","{{context}}

Dato che la risposta a una domanda Ã¨ ""{{{""1"": answerA, ""2"": answerB, ""3"": answerC}[label]}}"", qual Ã¨ la domanda?

|||

{{question}}","{{context}}

Dato che la risposta a una domanda Ã¨ ""{{{""1"": answerA, ""2"": answerB, ""3"": answerC}[label]}}"", qual Ã¨ la domanda?

|||

{{question}}","{{context}}

Dato che la risposta a una domanda Ã¨ ""{{{""1"": answerA, ""2"": answerB, ""3"": answerC}[label]}}"", qual Ã¨ la domanda?

|||

{{question}}","{{context}}

Dato che la risposta a una domanda è ""{{{""1"": answerA, ""2"": answerB, ""3"": answerC}[label]}}"", cosa è la domanda?

|||

{{question}}","Dato che la risposta ad una domanda è ""{{{""1"": rispostaA, ""2"": rispostaB, ""3"": rispostaC}[label]}}"", cosa è la domanda?

|||

{{question}}"
16,Generate answer,question answering without choices,social_i_qa.yaml,"{{context}}

Given the context: {{question}}

|||

{{answer_choices[label | int - 1]}}","{{context}}

Dato il contesto: {{question}}

|||

{{answer_choices[label | int - 1]}}","{{context}}

Dato il contesto: {{question}}

|||

{{answer_choices[label | int - 1]}}","{{context}}

Data il contesto: {{question}}

|||

{{answer_choices[label | int - 1]}}","{{context}}

Dato il contesto: {{question}}

|||

{{answer_choices[label | int - 1]}}","Contesto: {{context}}

Dato il contesto: {{question}}

|||

{{answer_choices[label | int - 1]}}","{{context}}

Dato il contesto: {{question}}

|||

{{answer_choices[label | int - 1]}}"
17,Show choices and generate index,multiple-choice question answering,social_i_qa.yaml,"Context: {{context}}

Question: {{question}}

Which one of these answers best answers the question according to the context?

A: {{answerA}}

B: {{answerB}}

C: {{answerC}}

|||

{{{""1"": ""A"", ""2"": ""B"", ""3"": ""C""}[label]}}","Contesto: {{context}}

Domanda: {{question}}

Quale di queste risposte risponde meglio alla domanda in base al contesto?

A: {{answerA}}

B: {{answerB}}

C: {{answerC}}

|||

{{{""1"": ""A"", ""2"": ""B"", ""3"": ""C""}[label]}}","Contesto: {{context}}

Domanda: {{question}}

Quale di queste risposte risponde meglio alla domanda secondo il contesto?

A: {{answerA}}

B: {{answerB}}

C: {{answerC}}

|||

{{{""1"": ""A"", ""2"": ""B"", ""3"": ""C""}[label]}}","Contesto: {{context}}

Domanda: {{question}}

Quale di queste risposte risponde meglio alla domanda secondo il contesto?

A: {{answerA}}

B: {{answerB}}

C: {{answerC}}

|||

{{{""1"": ""A"", ""2"": ""B"", ""3"": ""C""}[label]}}","Contesto: {{context}}

Domanda: {{question}}

Quale di queste risposte risponde meglio alla domanda secondo il contesto?

A: {{answerA}}

B: {{answerB}}

C: {{answerC}}

|||

{{{""1"": ""A"", ""2"": ""B"", ""3"": ""C""}[label]}}","Contesto: {{context}}

Domanda: {{question}}

Quale delle seguenti risposte risponde meglio alla domanda secondo il contesto?

A: {{answerA}}

B: {{answerB}}

C: {{answerC}}

|||

{{{""1"": ""A"", ""2"": ""B"", ""3"": ""C""}[label]}}","Contesto: {{context}}

Domanda: {{question}}

Quale delle risposte risponde meglio alla domanda secondo il contesto?

A: {{answerA}}

B: {{answerB}}

C: {{answerC}}

|||

{{{""1"": ""A"", ""2"": ""B"", ""3"": ""C""}[label]}}"
18,task_description-no-label,paraphrase identification,paws_labeled_final.yaml,"Determine if the following two sentences paraphrase each other or not.
Sent 1: {{sentence1}}
Sent 2: {{sentence2}}
||| 
{{answer_choices[label]}}","Determina se le due frasi seguenti si parafrasano a vicenda oppure no.
Frase 1: {{sentence1}}
Frase 2: {{sentence2}}
||| 
{{answer_choices[label]}}","Determina se le seguenti due frasi si parafrasano a vicenda o meno.  
Frase 1: {{sentence1}}  
Frase 2: {{sentence2}}  
|||  
{{answer_choices[label]}}","Determina se le seguenti due frasi si parafrasano a vicenda o meno.  
Frase 1: {{sentence1}}  
Frase 2: {{sentence2}}  
|||  
{{answer_choices[label]}}","Determina se le seguenti due frasi si parafrasano a vicenda o meno.  
Frase 1: {{sentence1}}  
Frase 2: {{sentence2}}  
|||  
{{answer_choices[label]}}","Determina se le due frasi seguenti si parafrasano a vicenda oppure no.
Frase 1: {{sentence1}}
Frase 2: {{sentence2}}
|||
{{answer_choices[label]}}","Determina se le due seguenti frasi si riassumono o meno.
Frase 1: {{sentence1}}
Frase 2: {{sentence2}}
|||
{{answer_choices[label]}}"
19,Meaning,paraphrase identification,paws_labeled_final.yaml,"Sentence 1: {{sentence1}}
Sentence 2: {{sentence2}}
Question: Do Sentence 1 and Sentence 2 express the same meaning? Yes or No? 
||| 
{{answer_choices[label]}}","Frase 1: {{sentence1}}
Frase 2: {{sentence2}}
Domanda: La Frase 1 e la Frase 2 esprimono lo stesso concetto? Sì o No?
||| 
{{answer_choices[label]}}","Frase 1: {{sentence1}}  
Frase 2: {{sentence2}}  
Domanda: La Frase 1 e la Frase 2 esprimono lo stesso significato? SÃ¬ o No?  
|||  
{{answer_choices[label]}}","Frase 1: {{sentence1}}  
Frase 2: {{sentence2}}  
Domanda: Frase 1 e Frase 2 esprimono lo stesso significato? SÃ¬ o No?  
|||  
{{answer_choices[label]}}","Frase 1: {{sentence1}}  
Frase 2: {{sentence2}}  
Domanda: Frase 1 e Frase 2 esprimono lo stesso significato? SÃ¬ o No?  
|||  
{{answer_choices[label]}}","Frase 1: {{sentence1}}
Frase 2: {{sentence2}}
Domanda: Le due frasi esprimono lo stesso significato? Sì o No?
|||
{{answer_choices[label]}}","1 Sentenza: {{sentence1}}
2 Sentenza: {{sentence2}}
Domanda: Le due Sentenze 1 e 2 esprimono lo stesso significato? Sì o No?
|||
{{answer_choices[label]}}"
20,context-question-no-label,paraphrase identification,paws_labeled_final.yaml,"{{sentence1}}
Is that a paraphrase of the following sentence?
{{sentence2}}?
||| 
{{answer_choices[label]}}","{{sentence1}}
Questa è una parafrasi della frase seguente?
{{sentence2}}?
||| 
{{answer_choices[label]}}","{{sentence1}}  
Ãˆ una parafrasi della seguente frase?  
{{sentence2}}?  
|||  
{{answer_choices[label]}}","{{sentence1}}  
Ãˆ una parafrasi della seguente frase?  
{{sentence2}}?  
|||  
{{answer_choices[label]}}","{{sentence1}}
Ãˆ una parafrasi della seguente frase?
{{sentence2}}?
|||
{{answer_choices[label]}}","{{sentence1}}
È una paraphrasi della seguente frase?
{{sentence2}}?
|||
{{answer_choices[label]}}","È una parofraasi della seguente frase?
{{sentence2}}?
|||
{{answer_choices[label]}}"
21,Rewrite-no-label,paraphrase identification,paws_labeled_final.yaml,"Sentence 1: {{sentence1}}
Sentence 2: {{sentence2}}
Question: Can we rewrite Sentence 1 to Sentence 2? 
||| 
{{answer_choices[label]}}","Frase 1: {{sentence1}}
Frase 2: {{sentence2}}
Domanda: Frase 1 potrebbe essere riscritta come Frase 2?
||| 
{{answer_choices[label]}}","Frase 1: {{sentence1}}  
Frase 2: {{sentence2}}  
Domanda: Possiamo riscrivere la Frase 1 nella Frase 2?  
|||  
{{answer_choices[label]}}","Frase 1: {{sentence1}}  
Frase 2: {{sentence2}}  
Domanda: Frase 1 potrebbe essere riscritta come Frase 2?  
|||  
{{answer_choices[label]}}","Frase 1: {{sentence1}}  
Frase 2: {{sentence2}}  
Domanda: Possiamo riscrivere la Frase 1 nella Frase 2?  
|||  
{{answer_choices[label]}}","Frase 1: {{sentence1}}
Frase 2: {{sentence2}}
Domanda: Può essere possibile rielaborare la Frase 1 in Frase 2?
|||
{{answer_choices[label]}}","1 Sentenza: {{sentence1}}
2 Sentenza: {{sentence2}}
Domanda: Può essere possibile rielaborare la Sentenza 1 in Sentenza 2?
|||
{{answer_choices[label]}}"
